[pid 13235] prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe8c95000, 0xff000, 0xffffffffede95d50)                          = 0
[pid 13235] munmap(0xffffffffe8c95000, 438272)                                                                          = 0
[pid 13235] munmap(0xffffffffe8d80000, 81920)                                                                           = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] openat(AT_FDCWD, "/proc/cpuinfo", O_RDONLY|O_LARGEFILE)                                                     = 7</proc/cpuinfo>
[pid 13235] read(7</proc/cpuinfo>, "Processor\t: AArch64 Processor rev 2 (aarch64)\nprocessor\t: 0\nFeatures\t: half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt evtstrm wp half thumb fastmult vfp edsp neon vfpv3 tlsi vfpv4 idiva idivt \nCPU implementer\t: 0x41\nCPU architecture: 8\nCPU variant\t: 0x0\nCPU part\t: 0xd03\nCPU revision\t: 3\n\nprocessor\t: 1\nFeatures\t: half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt evtstrm wp half thumb fastmult vfp edsp neon vfpv3 tlsi vfpv4 idiva idivt \nCPU implementer\t: 0x41\nCPU architecture: 8\nCPU variant\t: 0x0\nCPU part\t: 0xd03\nCPU revision\t: 3\n\nprocessor\t: 2\nFeatures\t: half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt evtstrm wp half thumb fastmult vfp edsp neon vfpv3 tlsi vfpv4 idiva idivt \nCPU implementer\t: 0x41\nCPU architecture: 8\nCPU variant\t: 0x0\nCPU part\t: 0xd03\nCPU revision\t: 3\n\nprocessor\t: 3\nFeatures\t: half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt evtstrm wp half thumb fastmult vfp edsp neon vfpv3 tlsi vfpv4 idiva idivt \nCPU implementer\t: 0x41\nCPU architecture: 8", 1024) = 1024
[pid 13235] read(7</proc/cpuinfo>, "\nCPU variant\t: 0x0\nCPU part\t: 0xd03\nCPU revision\t: 3\n\nprocessor\t: 4\nFeatures\t: half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt evtstrm wp half thumb fastmult vfp edsp neon vfpv3 tlsi vfpv4 idiva idivt \nCPU implementer\t: 0x41\nCPU architecture: 8\nCPU variant\t: 0x1\nCPU part\t: 0xd07\nCPU revision\t: 2\n\nprocessor\t: 5\nFeatures\t: half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt evtstrm wp half thumb fastmult vfp edsp neon vfpv3 tlsi vfpv4 idiva idivt \nCPU implementer\t: 0x41\nCPU architecture: 8\nCPU variant\t: 0x1\nCPU part\t: 0xd07\nCPU revision\t: 2\n\nRevision\t: 000b\nHardware\t: Qualcomm Technologies, Inc MSM8992\n", 1024) = 632
[pid 13235] read(7</proc/cpuinfo>, "", 1024)                                                                            = 0
[pid 13235] close(7</proc/cpuinfo>)                                                                                     = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] statfs64("/sys/fs/selinux", 88, {f_type="SELINUX_MAGIC", f_bsize=4096, f_blocks=0, f_bfree=0, f_bavail=0, f_files=0, f_ffree=0, f_fsid={0, 0}, f_namelen=255, f_frsize=4096, f_flags=4096}) = 0
[pid 13235] statfs64("/sys/fs/selinux", 88, {f_type="SELINUX_MAGIC", f_bsize=4096, f_blocks=0, f_bfree=0, f_bavail=0, f_files=0, f_ffree=0, f_fsid={0, 0}, f_namelen=255, f_frsize=4096, f_flags=4096}) = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ|PROT_WRITE)                                                    = 0
[pid 13235] mprotect(0xffffffffee95f000, 4096, PROT_READ)                                                               = 0
